31101 , 3916 , 119 : 144 , 7835 , 9889 , 5315 , 1704
17628 , 9999 , 84 : 94 , 5414 , 6071 , 8077 , 2874
43088 , 2920 , 128 : 94 , 9715 , 7716 , 6885 , 152
34677 , 899 , 83 : 85 , 3751 , 2021 , 8925 , 7593
43673 , 4258 , 92 : 132 , 3168 , 1276 , 6812 , 1795
22923 , 1218 , 114 : 113 , 6369 , 2880 , 6465 , 8701
9345 , 8649 , 94 : 83 , 4685 , 412 , 2545 , 667
25011 , 444 , 102 : 132 , 1233 , 291 , 1147 , 1012
711 , 7250 , 108 : 124 , 3517 , 5440 , 3888 , 5035
24559 , 680 , 81 : 134 , 9930 , 8849 , 2949 , 9209
31623 , 5260 , 95 : 106 , 4605 , 477 , 4573 , 4610
17960 , 1871 , 80 : 84 , 326 , 1807 , 3542 , 4204
42166 , 2144 , 109 : 127 , 1494 , 2890 , 4197 , 3517
30160 , 6999 , 121 : 144 , 7150 , 4003 , 6287 , 6100
45258 , 9521 , 143 : 148 , 8633 , 7291 , 111 , 7672
39417 , 2977 , 95 : 112 , 1830 , 1133 , 9312 , 190
14918 , 6428 , 106 : 88 , 5711 , 2249 , 5855 , 5079
36581 , 1856 , 115 : 100 , 9984 , 8194 , 8629 , 1823
109 , 395 , 123 : 136 , 2409 , 3279 , 7426 , 3128
43340 , 6231 , 99 : 134 , 1985 , 8810 , 905 , 8703
40909 , 7076 , 107 : 135 , 5081 , 7335 , 562 , 6066
9522 , 2653 , 88 : 136 , 1584 , 8166 , 7648 , 2177
28839 , 9548 , 115 : 99 , 3050 , 3458 , 3380 , 1421
24094 , 1515 , 104 : 95 , 4741 , 862 , 1123 , 1167
10634 , 9869 , 85 : 123 , 7575 , 1432 , 1862 , 5568
22261 , 6690 , 115 : 131 , 7301 , 8211 , 4756 , 9302
13779 , 2755 , 87 : 105 , 1266 , 5760 , 5992 , 2774
3855 , 113 , 106 : 137 , 8047 , 6912 , 8176 , 8569
37762 , 902 , 102 : 81 , 3068 , 3490 , 764 , 6887
13083 , 6017 , 90 : 108 , 761 , 4229 , 3804 , 1978
4889 , 7219 , 89 : 92 , 9573 , 6374 , 2452 , 3948
33654 , 8951 , 114 : 117 , 2644 , 8256 , 9151 , 812
45019 , 7624 , 104 : 145 , 449 , 1000 , 2672 , 8691
22085 , 7548 , 134 : 131 , 9373 , 5850 , 9664 , 8784
44658 , 4406 , 137 : 133 , 5255 , 4629 , 6205 , 1372
26516 , 570 , 147 : 122 , 2349 , 3613 , 5940 , 6758
5724 , 7477 , 106 : 131 , 2954 , 7889 , 4511 , 68
1219 , 4061 , 113 : 90 , 1525 , 6857 , 4866 , 4880
3983 , 5664 , 101 : 120 , 5796 , 9047 , 6306 , 8039
43387 , 9867 , 128 : 84 , 7372 , 2012 , 9636 , 8638
33352 , 6692 , 110 : 100 , 3169 , 8336 , 2988 , 9752
14630 , 2861 , 135 : 122 , 4916 , 2841 , 5776 , 8220
5962 , 6475 , 141 : 99 , 3887 , 8426 , 9816 , 317
27774 , 6958 , 83 : 121 , 8916 , 4426 , 9299 , 4656
29081 , 3747 , 83 : 117 , 3685 , 5698 , 6291 , 3795
7374 , 5855 , 138 : 118 , 2093 , 3162 , 5453 , 5015
43310 , 3657 , 107 : 119 , 589 , 9038 , 7284 , 6310
27735 , 8331 , 109 : 132 , 3932 , 9906 , 3651 , 6033
8851 , 9930 , 137 : 83 , 5560 , 7843 , 7651 , 8171
35356 , 1139 , 134 : 85 , 5952 , 9473 , 9797 , 6515
20482 , 6492 , 140 : 113 , 7305 , 5596 , 1315 , 1290
40727 , 3090 , 139 : 112 , 3355 , 7386 , 5005 , 8760
36579 , 9672 , 86 : 82 , 4142 , 1190 , 6542 , 638
10716 , 37 , 110 : 104 , 5396 , 9554 , 5585 , 3569
45667 , 7838 , 147 : 91 , 8948 , 2715 , 7284 , 6357
3365 , 8610 , 90 : 128 , 4647 , 1034 , 8949 , 8257
36382 , 378 , 148 : 147 , 2681 , 5368 , 5955 , 3376
11220 , 2311 , 80 : 108 , 1638 , 5536 , 9873 , 5601
33242 , 3494 , 149 : 110 , 7455 , 9820 , 1610 , 1069
5478 , 7188 , 150 : 133 , 6483 , 1435 , 8658 , 4333
26248 , 813 , 108 : 128 , 2417 , 8381 , 6351 , 4651
39809 , 1817 , 98 : 113 , 7811 , 5139 , 1088 , 5307
27449 , 3933 , 148 : 142 , 3217 , 706 , 9258 , 9688
43787 , 5372 , 87 : 134 , 9960 , 123 , 7043 , 7109
39057 , 5249 , 133 : 114 , 707 , 876 , 8907 , 4679
